title,description,url
"University of California, Riverside",UC Riverside is the nation’s leader for social mobility with a diverse & inclusive community pioneering research with impacts around the globe.,https://www.ucr.edu/
Privacy Policy,"Policy The University of California, Riverside is committed to ensuring the privacy and accuracy of your confidential information to the extent possible, subject to provisions of state and federal law. Other than as required by laws that guarantee public access to certain types of information, or in response to subpoenas or other legal instruments that authorize access, personally-identifiable information is not actively shared. In particular, we do not re-distribute or sell personal information collected on our web servers.",https://www.ucr.edu/privacy.html
Terms and Conditions of Use,"Please Read These Terms and Conditions of Use Carefully Before Using This Site By using this site and all other registered UCR web sites, referred to as ""these sites"", you agree to these terms of use. If you do not agree to these terms of use, please do not use this site.",https://www.ucr.edu/terms.html
Giving,"Make a gift to UC Riverside! An education changes everything. As part of your charitable donations, you can support the education of students at America’s most transformational public university.",https://giving.ucr.edu/
Out-of-State,"UCR believes that out-of-state students add an important and valuable depth to our campus. Our award-winning faculty will mentor you. Our diverse campus community will embrace you. And our dedicated resources will help you build your future! Sunny Southern California invites you to make the University of California, Riverside your home away from home.",https://admissions.ucr.edu/out-of-state
Staff,"Staff members at UC Riverside take pride in working for an institution that continually creates meaningful experiences for all Highlanders — and is rising in the ranks of national prominence. UCR was ranked the fastest rising university in America by U.S. News in 2019 and in the Top 30 of institutions dedicated to the public good by Washington Monthly in 2018. We want to create something better — on our campus and beyond — and our inspiring and dedicated staff helps us do just that. Without a doubt, the work we do daily to create transformative change on local, national, and global scales could not be done without them. And just as our staff helps to build better tomorrows by supporting UCR’s mission of research, teaching, and public service, we empower them and encourage their success through our unwavering support, resources, and mentorship — and outstanding benefits. That includes being on a campus situated in an ideal locale for work-life balance: In addition to all the vibrant city of Riverside has to offer, it’s also just a short drive from exquisite mountains, desert, and the beach.",https://www.ucr.edu/staff
First Year,UC Riverside is ready to help you turn your passion into purpose. Our award-winning faculty will mentor you. Our diverse campus community will embrace you. And our first-year-specific resources will help you build your future!,https://admissions.ucr.edu/firstyear
Grad Slam,"UC Grad Slam is an annual contest in which master's and Ph.D. students across UC campuses – in disciplines ranging from hard sciences to humanities – compete to sum up their research for a general audience.


Watch the livestream and pick your favorite immediately after the talks conclude.",https://gradslam.universityofcalifornia.edu
Faculty,"Faculty at UC Riverside thrive within America’s most prestigious public university system — and on one of the most dynamic campuses in the nation. UCR was America’s fastest rising university, according to the U.S. News 2019 rankings, and placed among the top 1 percent of universities worldwide, according to the 2018-19 Center for World University Rankings.  Our faculty members educate and elevate our students, our future leaders, while simultaneously creating visionary solutions and conducting path-breaking research of their own to address the greatest challenges facing our community and world. We make sure they have the resources, support, and stimulation they need to persevere. Among our distinguished faculty are two Nobel Prize winners, and 13 members of the National Academies of Science and Medicine. In fact, we are one of fewer than 20 public U.S. universities to boast multiple Nobel Prize winners on our faculty.  Every day, our diverse faculty bring an entrepreneurial spirit to education, showcasing what a public university is capable of in the 21st century. Through their interdisciplinary mindsets and shared commitment to collaborative inquiry, they are effecting the kind of transformative change that proves no barriers are too great at UCR.  ",https://www.ucr.edu/faculty
Australian fossil goldmine opens permanently,Land where a UC Riverside paleontology professor unearthed whole communities of Earth’s oldest animals is opening today to the public as a new national park in the Australian Outback. ,https://news.ucr.edu/articles/2023/04/26/australian-fossil-goldmine-opens-permanently
Current Students,"At UC Riverside students of every background and ambition, from first-generation college-goers to dedicated graduate researchers, are encouraged to dream big — and achieve their dreams.  Our students make our campus community a great place to live, learn, and grow — sharing their ideas, identities, and sense of what’s possible to help propel us forward in the dynamic digital and cultural space of an increasingly interconnected world. UC Riverside offers its undergraduate students more than 80 majors, providing plenty of options to pursue the subject matter about which they are most passionate. And our drop-in tutoring and study lounges designed to accommodate a variety of learning styles, and impressive research library — one of the largest in the nation — ensure our students have everything they need to achieve their academic goals.",https://www.ucr.edu/current-students
Police & Campus Safety,"Health, Well-Being & Safety",https://police.ucr.edu/
AI programs consume large volumes of scarce water,UCR study the first time estimates the huge water footprint from running artificial intelligence queries that rely on the cloud computations done in racks of servers that must be kept cool in warehouse-sized data processing centers. ,https://news.ucr.edu/articles/2023/04/28/ai-programs-consume-large-volumes-scarce-water
Tour the Gardens,   ,https://gardens.ucr.edu/tours
Highlander Day,UC Riverside's Open House,https://highlanderday.ucr.edu/
Grad Slam,"Grad Slam is a UC-wide public speaking competition and professional development opportunity in which graduate students describe their research or creative project in three minutes, with a maximum of three PowerPoint slides, to a non-specialist audience. Participating students are supported through public speaking workshops and feedback sessions, and progress through several preliminary and semi-final rounds.",https://gsrc.ucr.edu/grad-slam
RESEARCH SERVICES,Empowering the UCR researcher through research computing solutions and tech support.,https://its.ucr.edu/researchers
Clery Act Compliance,"Overview The Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act of 1998, commonly referred to as the “Clery Act,” is a federal law that requires each university receiving federal financial aid to annually compile and report specific crime and fire statistics for the university campus and to provide other safety and crime information to members of the campus community.  The Clery Act also requires universities to:",https://compliance.ucr.edu/clery-act-compliance
Certificates of Insurance,Certificates of Insurance  University agreements and contracts generally require the parties to the contract to carry insurance and to provide each other with evidence of the types and limits of insurance coverage they carry. Contractors and vendors with whom the University does business must submit certificates of insurance to the University that show that they meet the University’s insurance requirements. They obtain certificates of insurance from their insurance brokers and agents.,https://risk.ucr.edu/insurance/certificates
Grad Slam 2017,Making your research matter to both other academics and your community is one of the most important professional skills to develop as a graduate student. The GradSlam is an opportunity to practice articulating your research’s importance in an engaging way that makes sense to others while competing for prizes!,https://gsrc.ucr.edu/grad-slam-2017
Scholarships,"Nine Ways to Get a Scholarship: Pay for school with scholarships and graduate with less debt. You can earn scholarships for everything from academic achievement and leadership, to athletics and art. Start researching.",https://financialaid.ucr.edu/types-of-financial-aid/scholarships
Grad Slam 2018,"Making your project matter to both other academics and your community is one of the most important professional skills to develop as a graduate student. Grad Slam is an opportunity to practice articulating your research’s importance in an engaging way that makes sense to others while competing for prizes!  Graduate Division awarded the best 3-minute talk by a UCR graduate student about his/her research or creative project a $5,000 fellowship. This winner advances to the UCOP Finals for a chance to win another $6,000 fellowship. ",https://gsrc.ucr.edu/grad-slam-2018
Grad Slam 2020,"Making your project matter to both other academics and your community is one of the most important professional skills to develop as a graduate student. Grad Slam is an opportunity to practice articulating your research's importance to others in a clear, engaging way while competing for prizes!",https://gsrc.ucr.edu/grad-slam-2020
"Office of Title IX, Equal Opportunity & Affirmative Action","  The University is committed to non-discrimination, equal employment and affirmative action.  UCR respects the rights of all members of the campus community to equal opportunity  and freedom from harassment on the basis of race, color, religion, sex, national origin, citizenship, religion, sex, sexual orientation, gender (including gender identity, gender expression and gender transition status), pregnancy, age, disability (mental or physical), medical condition (cancer-related or genetic characteristics), genetic information (including famil",https://compliance.ucr.edu/office-title-ix-equal-opportunity-affirmative-action
Grad Slam 2021,"Grad Slam 2021: UCR did not hold a campus Grad Slam in 2021. The 2020 Campus Champion, Eric Johns, competed in the UC-wide Grad Slam Final, which was held virtually in the Spring of 2021. He did not get a chance to compete at the system-wide level in 2020 as the UC-wide Final was cancelled due to the COVID-19 pandemic.",https://gsrc.ucr.edu/grad-slam-2021
