title,description,url
HOME,"Ideas in Motion / Societies in Transformation 
Building Scholarly Communities for Change",https://ideasandsociety.ucr.edu/
Event cosponsorship,"Supplemental funding for events hosted at UC Riverside by CHASS departments and programs 

CHASS Faculty and graduate students are eligible to apply 

Support funding varies by event type

See ""Funding Guidelines"" below  

Request for future events (up to one year in advance) are considered for full funding according to the event type and review criteria.

Requests",https://ideasandsociety.ucr.edu/cosponsorship/
Outlook – free personal email and calendar from Microsoft,"Get free Outlook email and calendar, plus Office Online apps like Word, Excel and PowerPoint. Sign in to access your Outlook, Hotmail or Live email account.",https://outlook.live.com/
Outlook – free personal email and calendar from Microsoft,"Get free Outlook email and calendar, plus Office Online apps like Word, Excel and PowerPoint. Sign in to access your Outlook, Hotmail or Live email account.",https://outlook.live.com/
Outlook – free personal email and calendar from Microsoft,"Get free Outlook email and calendar, plus Office Online apps like Word, Excel and PowerPoint. Sign in to access your Outlook, Hotmail or Live email account.",https://outlook.live.com/
Outlook – free personal email and calendar from Microsoft,"Get free Outlook email and calendar, plus Office Online apps like Word, Excel and PowerPoint. Sign in to access your Outlook, Hotmail or Live email account.",https://outlook.live.com/
Outlook – free personal email and calendar from Microsoft,"Get free Outlook email and calendar, plus Office Online apps like Word, Excel and PowerPoint. Sign in to access your Outlook, Hotmail or Live email account.",https://outlook.live.com/
  Events," on May 9, 2023",https://events.ucr.edu/calendar/day/2023/5/9
  Events," on May 23, 2023",https://events.ucr.edu/calendar/day/2023/5/23
Outlook – free personal email and calendar from Microsoft,"Get free Outlook email and calendar, plus Office Online apps like Word, Excel and PowerPoint. Sign in to access your Outlook, Hotmail or Live email account.",https://outlook.live.com/
Outlook – free personal email and calendar from Microsoft,"Get free Outlook email and calendar, plus Office Online apps like Word, Excel and PowerPoint. Sign in to access your Outlook, Hotmail or Live email account.",https://outlook.live.com/
Mellon Faculty Fellowships,"-- Investing in the Future of Humanities at UC Riverside --  

The Mellon Humanities Grant at the UCR Center for Ideas and Society seeks to enrich research and collegiality in the humanities at the University of California, Riverside by supporting the development and promotion",https://ideasandsociety.ucr.edu/mellonhumanities/
Outlook – free personal email and calendar from Microsoft,"Get free Outlook email and calendar, plus Office Online apps like Word, Excel and PowerPoint. Sign in to access your Outlook, Hotmail or Live email account.",https://outlook.live.com/
Welcome to the new Co-Directors: Jeanette Kohl and Dylan Rodríguez,"The Center for Ideas and Society is pleased to announce that Jeanette Kohl (History of Art) and Dylan Rodríguez (Media & Cultural Studies) have been appointed as co-directors. This innovative and ground-breaking partnership will draw on their combined visions, strengths and experiences to develop new projects and",https://ideasandsociety.ucr.edu/news/welcome-to-the-new-co-directors-jeanette-kohl-and-dylan-rodriguez/
Pinterest,"Discover recipes, home ideas, style inspiration and other ideas to try.",https://www.pinterest.com/pin/create/button/
Post to Tumblr - Preview,"Tumblr is a place to express yourself, discover yourself, and bond over the stuff you love. It's where your interests connect you with your people.",https://www.tumblr.com/widgets/share/tool/preview?shareSource=legacy&canonicalUrl=&url=https%3A%2F%2Fideasandsociety.ucr.edu%2Fnews%2Fwelcome-to-the-new-co-directors-jeanette-kohl-and-dylan-rodriguez%2F&posttype=link&title=Welcome+to+the+new+Co-Directors%3A+Jeanette+Kohl+and+Dylan+Rodr%C3%ADguez&caption=The+Center+for+Ideas+and+Society+is+pleased+to+announce+that+Jeanette+Kohl+%28History+of+Art%29+and+Dylan+Rodr%C3%ADguez+%28Media+%26amp%3B+Cultural+Studies%29+have+been+appointed+as+co-directors.+This+innovative+and+ground-breaking+partnership+will+draw+on+their+combined+visions%2C+strengths+and+experiences+to+develop+new+projects+and&content=https%3A%2F%2Fideasandsociety.ucr.edu%2Fnews%2Fwelcome-to-the-new-co-directors-jeanette-kohl-and-dylan-rodriguez%2F
Tumblr,Tumblr. Pure effervescent enrichment. Old internet energy. Home of the Reblogs. All the art you never knew you needed. All the fandoms you could wish for. Enough memes to knock out a moderately-sized mammal. Add to it or simply scroll through and soak it up.,https://www.tumblr.com/login?redirect_to=https%3A%2F%2Fwww.tumblr.com%2Fwidgets%2Fshare%2Ftool%3FshareSource%3Dlegacy%26canonicalUrl%3D%26url%3Dhttps%253A%252F%252Fideasandsociety.ucr.edu%252Fnews%252Fwelcome-to-the-new-co-directors-jeanette-kohl-and-dylan-rodriguez%252F%26posttype%3Dlink%26title%3DWelcome%2Bto%2Bthe%2Bnew%2BCo-Directors%253A%2BJeanette%2BKohl%2Band%2BDylan%2BRodr%25C3%25ADguez%26caption%3DThe%2BCenter%2Bfor%2BIdeas%2Band%2BSociety%2Bis%2Bpleased%2Bto%2Bannounce%2Bthat%2BJeanette%2BKohl%2B%2528History%2Bof%2BArt%2529%2Band%2BDylan%2BRodr%25C3%25ADguez%2B%2528Media%2B%2526amp%253B%2BCultural%2BStudies%2529%2Bhave%2Bbeen%2Bappointed%2Bas%2Bco-directors.%2BThis%2Binnovative%2Band%2Bground-breaking%2Bpartnership%2Bwill%2Bdraw%2Bon%2Btheir%2Bcombined%2Bvisions%252C%2Bstrengths%2Band%2Bexperiences%2Bto%2Bdevelop%2Bnew%2Bprojects%2Band%26content%3Dhttps%253A%252F%252Fideasandsociety.ucr.edu%252Fnews%252Fwelcome-to-the-new-co-directors-jeanette-kohl-and-dylan-rodriguez%252F%26sequence%3Dpreview
Tumblr,Tumblr. Pure effervescent enrichment. Old internet energy. Home of the Reblogs. All the art you never knew you needed. All the fandoms you could wish for. Enough memes to knock out a moderately-sized mammal. Add to it or simply scroll through and soak it up.,https://www.tumblr.com/register?source=login_register_header&redirect_to=https%3A%2F%2Fwww.tumblr.com%2Fwidgets%2Fshare%2Ftool%3FshareSource%3Dlegacy%26canonicalUrl%3D%26url%3Dhttps%253A%252F%252Fideasandsociety.ucr.edu%252Fnews%252Fwelcome-to-the-new-co-directors-jeanette-kohl-and-dylan-rodriguez%252F%26posttype%3Dlink%26title%3DWelcome%2Bto%2Bthe%2Bnew%2BCo-Directors%253A%2BJeanette%2BKohl%2Band%2BDylan%2BRodr%25C3%25ADguez%26caption%3DThe%2BCenter%2Bfor%2BIdeas%2Band%2BSociety%2Bis%2Bpleased%2Bto%2Bannounce%2Bthat%2BJeanette%2BKohl%2B%2528History%2Bof%2BArt%2529%2Band%2BDylan%2BRodr%25C3%25ADguez%2B%2528Media%2B%2526amp%253B%2BCultural%2BStudies%2529%2Bhave%2Bbeen%2Bappointed%2Bas%2Bco-directors.%2BThis%2Binnovative%2Band%2Bground-breaking%2Bpartnership%2Bwill%2Bdraw%2Bon%2Btheir%2Bcombined%2Bvisions%252C%2Bstrengths%2Band%2Bexperiences%2Bto%2Bdevelop%2Bnew%2Bprojects%2Band%26content%3Dhttps%253A%252F%252Fideasandsociety.ucr.edu%252Fnews%252Fwelcome-to-the-new-co-directors-jeanette-kohl-and-dylan-rodriguez%252F%26sequence%3Dpreview
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/dylanr
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://music.ucr.edu/encounters/
California Digital Newspaper Collection,"Background The California Digital Newspaper Collection is a growing repository of historical California newspapers published from 1846-present, including the first California newspaper,",https://cbsrinfo.ucr.edu/CDNC
Pinterest,"Discover recipes, home ideas, style inspiration and other ideas to try.",https://www.pinterest.com/pin/create/bookmarklet/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://religiousstudies.ucr.edu/full-time-faculty/pashaura-singh/
Complaint Resolution,University of California Riverside Avenues for Complaint Resolution,https://diversity.ucr.edu/complaint-resolution
Counseling & Psychological Services,(951) UCR-Talk,https://mentalhealth.ucr.edu/
Movement for census awareness swells in Inland Empire,"In a two-county region at risk of an undercount, grassroots momentum has grown to ensure participation in the 2020 census",https://news.ucr.edu/articles/2020/04/20/movement-census-awareness-swells-inland-empire
How is Europe responding to the coronavirus pandemic?,"In hard-hit Europe, responses to COVID-19 could be lessons for the global community, says political economist Jana Grittersova",https://news.ucr.edu/articles/2020/04/21/how-europe-responding-coronavirus-pandemic
Are you voting for a populist candidate?,Study highlights potential for populist leaders to undermine democracy.,https://news.ucr.edu/articles/2022/12/12/are-you-voting-populist-candidate
S2P: Hacking Humanities,Just as humanities are crucial to scientific researc,https://chass.ucr.edu/press/2020/09/30/s2p-hacking-humanities
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/diogof
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://politicalscience.ucr.edu/people/faculty/grittersova/
"Assistant Professor, Personality Psychology","University of California, Riverside is hiring. Apply now!",https://aprecruit.ucr.edu/JPF01649
Assistant Professor of Teaching,"University of California, Riverside is hiring. Apply now!",https://aprecruit.ucr.edu/JPF01654
Giving,"Donations to the Guardian Scholars Fund make a difference for students who have “aged out” or “emancipated” from the foster care system. Funds are used exclusively for student support services, including assistance with books and scholastic needs, participation in conferences, and basic needs. Contact us to learn more.",https://guardianscholars.ucr.edu/giving
Study: Children as young as 7 suffer effects of discrimination,"A new UC Riverside study finds children are sensitive to and suffer the impacts of discrimination as young as 7 years old. Previous studies have shown children can identify racism at that age, but the study from Tuppett Yates, a UC Riverside psychology professor, and Ana Marcelo, an assistant professor of psychology at Clark University, is the first to study the impacts on children under 10 years old. The study also suggests that a strong sense of ethnic-racial identity is a significant buffer against these negative effects.",https://news.ucr.edu/articles/2018/10/22/study-children-young-7-suffer-effects-discrimination
Center for Advanced Neuroimaging,"Yes, UCR CAN!",https://can.ucr.edu/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://research.ucr.edu/vcr/research-facilities.aspx
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://research.ucr.edu/ocv.aspx
HPCC,Home of UCR's HPCC,https://hpcc.ucr.edu/
ZAGHA LAB,We study the neural mechanisms underlying sensory detection and impulse control. Through this research we hope to better understand how neocortex enables us to have flexible and meaningful...,https://www.zaghalab.com/
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/ezagha
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/arthurc
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/aerikal
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/khaleel
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/bhughes
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/sonja
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/franchak
Institute for Integrative Genome Biology,College of Natural & Agricultural Sciences,https://iigb.ucr.edu/
Guidance on Human Subjects and Research,"Interim Guidance by Institutional Review Board (IRB) - approved Human Subjects Research and other research activities involving visits and in-person interactions with participants, subjects or patients at University of California, Riverside (UCR) during COVID-19 Outbreak -  Effective March 13th, 2020",https://insideucr.ucr.edu/announcements/2020/03/13/guidance-human-subjects-and-research
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://research.ucr.edu/spa/covid19.aspx
Core Facilities & Collaboration Partner,"  The Institute is organized around an 11,000 sq. ft. the suite of Instrumentation Facilities at Noel T. Keen/Batchelor Hall that serves as a centralized, shared-use resource for faculty, staff, and students.  These facilities are housed within the same building, providing researchers with the ability to access diverse technologies and expertise at one location.",https://iigb.ucr.edu/research/core-facilities
COVID-19 Guidance for Researchers,"Dear UCR research community, I would like to follow up on the Chancellor’s message this afternoon about academic continuity and campus operations.  As mentioned in the message, we are NOT suspending research activities at this time but want to share several actions and recommendations.",https://insideucr.ucr.edu/announcements/2020/03/11/covid-19-guidance-researchers
Chemical Inventory,What is Chemical Inventory?  In order to prote,https://ehs.ucr.edu/laboratory/chemical/chemical-inventory
Proteomics Core Facility IIGB,Institute for Integrative Genome Biology,https://proteomics.iigb.ucr.edu/
Metabolomics Core Facility,Institute for Integrative Genome Biology (IIGB),https://metabolomics.iigb.ucr.edu/
IIGB Bioinformatics Core @ UCR,IIGB Bioinformatics core website at UCR,https://iigb-bioinfocore.github.io/
Center for Plant Cell Biology,Institute for Integrative Genome Biology,https://cepceb.ucr.edu/
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/meganr
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/ksweeny
Genomics Core Facility,Department of Botany & Plant Sciences,https://genomics.iigb.ucr.edu/
20th Annual CEPCEB Symposium Photos,CEPCEB Symposium 2022,https://cepceb.ucr.edu/galleria/20th-annual-cepceb-symposium-photos
2017 FIELDS Data Science and Visualization Workshop,"The FIELDS Program is offering a workshop to train the next generation of researchers in big data analytics and visualization. The workshop is presented by UCR faculty, graduate students and guest …",https://bigdata.ucr.edu/fields/education/workshopwinter2017/
